car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
AR7L,12 TO 14 DOVER CLOSE EAST,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.30580771,103.7855911,,,,,
AR7M,BLK 12A DOVER CLOSE EAST,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.304771423,103.7851944,,,,,
AR9,BLK 20/22/23 DOVER CRESCENT,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.307284355,103.7834396,,,,,
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.285582542,103.803215,,,,,
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.284911275,103.8058395,,,,,
B10,BLK 404/413 BEDOK NORTH AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329028368,103.9337082,,,,,
B10M,BLK 431 BEDOK NORTH ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329210162,103.9325256,,,,,
B11,BLK 416/418 BEDOK NORTH AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.328341961,103.930397,,,,,
B12,BLK 420/421 BEDOK NORTH STREET 1,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.327598333,103.9278793,,,,,
B13,BLK 414/425 BEDOK NORTH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329653263,103.9297638,,,,,
B14,BLK 412/413 BEDOK NORTH AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329159141,103.9314423,,,,,
B16,BLKS 59, 62-65 NEW UPPER CHANGI ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.32350111,103.9405594,,,,
B17,BLK 52/57 NEW UPPER CHANGI ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.324217796,103.9418564,,,,,
B19,BLK 36-44, 60 BEDOK SOUTH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.321924567,103.9409637,,,,
B20,BLK 67/73 BEDOK SOUTH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.319799662,103.9434204,,,,,
B21,BLK 74/82 BEDOK NORTH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.328177929,103.9410477,,,,,
B23M,BLK 187 BEDOK NORTH STREET 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.330687761,103.9406433,,,,,
B24,BLK 84/89 BEDOK NORTH AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.332647204,103.9382935,,,,,
B24A,BLK 84 BEDOK NORTH STREET 4,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.331263065,103.9396133,,,,,
B25,BLK 91/97 BEDOK NORTH AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.332969069,103.9404907,,,,,
B26,BLK 98/100 BEDOK NORTH AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.334308028,103.9403381,,,,,
B27,BLK 101/106 BEDOK NORTH AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.33411777,103.9380417,,,,,
B28,BLK 107/110 BEDOK NORTH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.332544804,103.9355698,,,,,
B30,BLK 119/123 BEDOK NORTH STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329942822,103.9387512,,,,,
B31,BLK 124/129 BEDOK NORTH STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.328501225,103.9388504,,,,,
B32,BLK 130/132 BEDOK NORTH STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.327410698,103.9367599,,,,,
B33,BLK 131/133 BEDOK NORTH AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.327240825,103.9357986,,,,,
B34,BLK 134/136 BEDOK NORTH AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.328312278,103.9356766,,,,,
